vehicleId,n_steps,tgnn_pdr,tgnn_plr,tgnn_handovers,tgnn_ping_pong,tgnn_throughput_mbps,lstm_pdr,lstm_plr,lstm_handovers,lstm_ping_pong,lstm_throughput_mbps,ground_pdr,ground_plr,ground_handovers,ground_ping_pong,ground_throughput_mbps
2049,390,0.9897435897435898,0.01025641025641022,325,9,118.38173067728825,0.9615384615384616,0.038461538461538436,108,24,116.23751597904068,0.9897435897435898,0.01025641025641022,325,9,118.38173067728825
2050,130,1.0,0.0,85,4,130.0456757334509,1.0,0.0,45,14,127.55394512299016,1.0,0.0,85,4,130.0456757334509
2051,500,1.0,0.0,461,1,170.44936920838146,1.0,0.0,412,34,176.35599544856402,1.0,0.0,461,1,170.44936920838146
2052,500,1.0,0.0,459,6,156.06802493251354,1.0,0.0,341,25,163.03072170920228,1.0,0.0,459,6,156.06802493251354
2053,500,0.986,0.014000000000000012,401,22,115.94219877369987,0.98,0.020000000000000018,184,29,120.31841954481663,0.986,0.014000000000000012,401,22,115.94219877369987
2054,500,0.998,0.0020000000000000018,421,72,119.29187004233405,0.998,0.0020000000000000018,174,22,121.3961380340381,0.998,0.0020000000000000018,421,72,119.29187004233405
2055,500,1.0,0.0,461,2,192.51196851707232,1.0,0.0,454,6,193.31088448747067,1.0,0.0,461,2,192.51196851707232
2056,500,1.0,0.0,443,14,129.84222970368316,1.0,0.0,271,26,129.85824705658567,1.0,0.0,443,14,129.84222970368316
2057,500,0.996,0.0040000000000000036,441,14,127.51239594512688,0.99,0.010000000000000009,222,24,129.4098452609604,0.996,0.0040000000000000036,441,14,127.51239594512688
2058,500,1.0,0.0,458,5,172.50975462152215,1.0,0.0,423,20,175.35048224760592,1.0,0.0,458,5,172.50975462152215
